game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Super Mario Maker 2,NS,5.48,Nintendo,Platform,28 Jun 19,https://www.vgchartz.com/games/boxart/full_9518829AmericaFrontccc.jpg,https://www.vgchartz.com/game/223537/super-mario-maker-2/?region=All
Kirby Star Allies,NS,2.56,Nintendo,Platform,16 Mar 18,https://www.vgchartz.com/games/boxart/full_6412652AmericaFrontccc.jpg,https://www.vgchartz.com/game/182718/kirby-star-allies/?region=All
Donkey Kong Country: Tropical Freeze,NS,2.25,Nintendo,Platform,04 May 18,https://www.vgchartz.com/games/boxart/full_2418105AmericaFrontccc.jpg,https://www.vgchartz.com/game/220635/donkey-kong-country-tropical-freeze/?region=All
Crash Bandicoot N. Sane Trilogy,NS,1.11,Activision,Platform,29 Jun 18,https://www.vgchartz.com/games/boxart/full_9892340AmericaFrontccc.jpg,https://www.vgchartz.com/game/221276/crash-bandicoot-n-sane-trilogy/?region=All
Yoshi's Crafted World,NS,1.11,Nintendo,Platform,29 Mar 19,https://www.vgchartz.com/games/boxart/full_7109212AmericaFrontccc.jpg,https://www.vgchartz.com/game/182717/yoshis-crafted-world/?region=All
Sonic Forces,NS,0.74,Sega,Platform,07 Nov 17,https://www.vgchartz.com/games/boxart/full_3237893AmericaFrontccc.jpg,https://www.vgchartz.com/game/194444/sonic-forces/?region=All
Rayman Legends,NS,0.69,Ubisoft,Platform,12 Sep 17,https://www.vgchartz.com/games/boxart/full_9150225AmericaFrontccc.jpg,https://www.vgchartz.com/game/192884/rayman-legends/?region=All
LEGO City Undercover,NS,0.65,Warner Bros. Interactive Entertainment,Platform,04 Apr 17,https://www.vgchartz.com/games/boxart/full_3260020AmericaFrontccc.jpg,https://www.vgchartz.com/game/153125/lego-city-undercover/?region=All
Sonic Mania,NS,0.47,Sega,Platform,15 Aug 17,https://www.vgchartz.com/games/boxart/full_9293555AmericaFrontccc.jpg,https://www.vgchartz.com/game/161485/sonic-mania/?region=All
Shovel Knight,NS,0.37,Yacht Club Games,Platform,09 Apr 19,https://www.vgchartz.com/games/boxart/full_3473087AmericaFrontccc.jpg,https://www.vgchartz.com/game/220222/shovel-knight/?region=All
Mega Man 11,NS,0.36,Capcom,Platform,02 Oct 18,https://www.vgchartz.com/games/boxart/full_8867893AmericaFrontccc.jpg,https://www.vgchartz.com/game/220336/mega-man-11/?region=All
