game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
The Walking Dead - The Telltale Series: A New Frontier,PS4,0.17,Warner Bros. Interactive Entertainment,Adventure,28 Feb 17,https://www.vgchartz.com/games/boxart/full_1843833AmericaFrontccc.jpg,https://www.vgchartz.com/game/133969/the-walking-dead-the-telltale-series-a-new-frontier/?region=All
Brothers: A Tale of Two Sons,PS4,0.15,505 Games,Adventure,12 Aug 15,https://www.vgchartz.com/games/boxart/full_8255611AmericaFrontccc.jpg,https://www.vgchartz.com/game/85647/brothers-a-tale-of-two-sons/?region=All
Yakuza: Ishin,PS4,0.15,Sega,Adventure,22 Feb 14,https://www.vgchartz.com/games/boxart/full_5884711JapanFrontccc.jpg,https://www.vgchartz.com/game/75656/yakuza-ishin/?region=All
Dragon Quest Builders 2,PS4,0.15,Square Enix,Adventure,12 Jul 19,https://www.vgchartz.com/games/boxart/full_5174837JapanFrontccc.jpg,https://www.vgchartz.com/game/223265/dragon-quest-builders-2/?region=All
13 Sentinels: Aegis Rim,PS4,0.13,Atlus,Adventure,28 Nov 19,https://www.vgchartz.com/games/boxart/full_2920777JapanFrontccc.jpg,https://www.vgchartz.com/game/223327/13-sentinels-aegis-rim/?region=All
Utawarerumono: Mask of Deception,PS4,0.13,Atlus,Adventure,23 May 17,https://www.vgchartz.com/games/boxart/full_4336788JapanFrontccc.jpg,https://www.vgchartz.com/game/85950/utawarerumono-mask-of-deception/?region=All
Danganronpa 1-2 Reload,PS4,0.12,NIS America,Adventure,14 Mar 17,https://www.vgchartz.com/games/boxart/full_6632282AmericaFrontccc.png,https://www.vgchartz.com/game/137624/danganronpa-1-2-reload/?region=All
Subnautica,PS4,0.12,Gearbox Software,Adventure,04 Dec 18,https://www.vgchartz.com/games/boxart/full_9942993AmericaFrontccc.jpg,https://www.vgchartz.com/game/222357/subnautica/?region=All
Marvel's Guardians of the Galaxy: The Telltale Series,PS4,0.12,Warner Bros. Interactive Entertainment,Adventure,02 May 17,https://www.vgchartz.com/games/boxart/full_60791AmericaFrontccc.jpg,https://www.vgchartz.com/game/158399/marvels-guardians-of-the-galaxy-the-telltale-series/?region=All
Minecraft: Story Mode - Season Two,PS4,0.11,Telltale Games,Adventure,19 Sep 17,https://www.vgchartz.com/games/boxart/full_4514683AmericaFrontccc.jpg,https://www.vgchartz.com/game/192931/minecraft-story-mode-season-two/?region=All
The Invisible Hours,PS4,0.11,GameTrust,Adventure,10 Oct 17,https://www.vgchartz.com/games/boxart/full_1558729AmericaFrontccc.jpg,https://www.vgchartz.com/game/203193/the-invisible-hours/?region=All
RiME,PS4,0.11,Grey Box,Adventure,26 May 17,https://www.vgchartz.com/games/boxart/full_6145513AmericaFrontccc.png,https://www.vgchartz.com/game/158398/rime/?region=All
Déraciné,PS4,0.10,Sony Interactive Entertainment,Adventure,06 Nov 18,https://www.vgchartz.com/games/boxart/full_1178937AmericaFrontccc.jpg,https://www.vgchartz.com/game/222741/deracine/?region=All
